P_Name,Surname,Country
Alex,Mumbru,spain
Carlos,Jimenez,spain
Berni,Rodriguez,spain
Raul,Lopez,spain
Fran,Vazquez,spain
Sergio,Llull,spain
Fernando,Emeterio,spain
Victor,Sada,spain
Juan,Hernangomez,spain
Pau,Ribas,spain
Pierre,Oriola,spain
Quino,Colom,spain
Javier,Beiran,spain
Xavi,Rabaseda,spain
Alberto,Abalde,spain
Xabier,Lopez-Arostegui,spain
Hidayet,Turkoglu,turkey
Omer,Onan,turkey
Ender,Arslan,turkey
Kerem,Tunceri,turkey
Sinan,Guler,turkey
Oguz,Savas,turkey
Kerem,Gonlum,turkey
Cenk,Akyol,turkey
Baris,Ermis,turkey
Emir,Preldzic,turkey
Baris,Hersek,turkey
Melih,Mahmutoglu,turkey
Scottie,Wilbekin,turkey
James,Birsen,turkey
Sertac,Sanli,turkey
Bugrahan,Tuncer,turkey
Dogus,Balbay,turkey
Yigit,Arslan,turkey
Ege,Arar,turkey
Greg,Echenique,venezuela
John,Cox,venezuela
Nestor,Colmenares,venezuela
Gregory,Vargas,venezuela
Jose,Vargas,venezuela
David,Cubillan,venezuela
Anthony,Perez,venezuela
Heissler,Guillent,venezuela
Miguel,Ruiz,venezuela
Windi,Graterol,venezuela
Dwight,Lewis,venezuela
Miguel,Marriaga,venezuela
Michael,Carrera,venezuela
Jhornan,Zamora,venezuela
Pedro,Chourio,venezuela
Luis,Bethelmy,venezuela
