P_Name,Surname,Nationality,Salary,NewSalary
Juwan,Howard,"united states",1995449.00,1755995.12
Chris,Quinn,"united states",1303764.00,1147312.32
DeMarre,Carroll,"united states",1176830.00,1035610.40
Vin,Baker,"united states",1489001.00,1310320.88
Stacey,Augmon,"united states",2277975.00,2004618.00
Anthony,Goldwire,"united states",2587039.00,2276594.32
Kevin,Burleson,"united states",3649712.00,3211746.56
Pablo,Prigioni,"united states",1490600.00,1311728.00
Michael,Ruffin,"united states",724441.00,637508.08
Keith,Bogans,"united states",283426.00,249414.88
Royal,Ivey,"united states",1464644.00,1288886.72
Howard,Eisley,"united states",3546012.00,3120490.56
Corliss,Williamson,"united states",3538397.00,3113789.36
Laron,Profit,"united states",621100.00,546568.00
Dwayne,Jones,"united states",2383873.00,2097808.24
Aaron,McKie,"united states",1829242.00,1609732.96
Jarrett,Jack,"united states",3347722.00,2945995.36
Steve,Blake,"united states",1496808.00,1317191.04
Milt,Palacio,"united states",3848249.00,3386459.12
Jannero,Pargo,"united states",2308509.00,2031487.92
Leandro,Barbosa,"united states",2953362.00,2598958.56
Doug,Christie,"united states",3318713.00,2920467.44
Bobby,Jackson,"united states",1703099.00,1498727.12
Darius,Songaila,"united states",3942005.00,3468964.40
Tim,Duncan,"united states",504103.00,443610.64
Sean,Marks,"united states",2146951.00,1889316.88
Jamaal,Magloire,"united states",1160049.00,1020843.12
Alvin,Williams,"united states",756132.00,665396.16
Walker,Russell,"united states",1628238.00,1432849.44
Jason,Terry,"united states",1623772.00,1428919.36
Keyon,Dooling,"united states",843751.00,742500.88
Shareef,Abdur-Rahim,"united states",1315122.00,1157307.36
Alex,Acker,"united states",1466511.00,1290529.68
Ray,Allen,"united states",2378690.00,2093247.20
Tony,Allen,"united states",3326078.00,2926948.64
Rafer,Alston,"united states",2946956.00,2593321.28
Chris,Andersen,"united states",3702765.00,3258433.20
Alan,Anderson,"united states",2057464.00,1810568.32
Derek,Anderson,"united states",3470372.00,3053927.36
Shandon,Anderson,"united states",539490.00,474751.20
Martynas,"Andriu kevicius","united states",3568098.00,3139926.24
Carmelo,Anthony,"united states",2938453.00,2585838.64
Rafael,Araujo,"united states",3717732.00,3271604.16
Gilbert,Arenas,"united states",1302269.00,1145996.72
Trevor,Ariza,"united states",1701270.00,1497117.60
Carlos,Arroyo,"united states",2613750.00,2300100.00
Chucky,Atkins,"united states",3174485.00,2793546.80
Marcus,Banks,"united states",3789244.00,3334534.72
Matt,Barnes,"united states",2267846.00,1995704.48
Andre,Barrett,"united states",1540579.00,1355709.52
Earl,Barron,"united states",86550.00,76164.00
Brent,Barry,"united states",3283709.00,2889663.92
Jon,Barry,"united states",3362498.00,2958998.24
Eddie,Basden,"united states",501655.00,441456.40
Brandon,Bass,"united states",2355460.00,2072804.80
Esteban,Batista,"united states",3268960.00,2876684.80
Tony,Battie,"united states",1595355.00,1403912.40
Shane,Battier,"united states",2860380.00,2517134.40
Lonny,Baxter,"united states",868343.00,764141.84
Charlie,Bell,"united states",381785.00,335970.80
Raja,Bell,"united states",592515.00,521413.20
Jonathan,Bender,"united states",1661161.00,1461821.68
Mike,Bibby,"united states",1418146.00,1247968.48
Andris,Biedrin,"united states",3442502.00,3029401.76
Andray,Blatche,"united states",639017.00,562334.96
Mark,Blount,"united states",121847.00,107225.36
Andrew,Bogut,"united states",721020.00,634497.60
Matt,Bonner,"united states",1912663.00,1683143.44
Calvin,Booth,"united states",1981333.00,1743573.04
Carlos,Boozer,"united states",3390742.00,2983852.96
Chris,Bosh,"united states",2272529.00,1999825.52
Bruce,Bowen,"united states",2775190.00,2442167.20
Earl,Boykins,"united states",1518236.00,1336047.68
Michael,Bradley,"united states",272546.00,239840.48
Elton,Brand,"united states",1452408.00,1278119.04
Primo?,Brezec,"united states",82118.00,72263.84
Devin,Brown,"united states",229841.00,202260.08
Kwame,Brown,"united states",201554.00,177367.52
P.J.,Brown,"united states",249875.00,219890.00
Kobe,Bryant,"united states",2341068.00,2060139.84
Antonio,Burks,"united states",1667531.00,1467427.28
Jackie,Butler,"united states",3551081.00,3124951.28
Rasual,Butler,"united states",1355419.00,1192768.72
Andrew,Bynum,"united states",2319393.00,2041065.84
Will,Bynum,"united states",1339197.00,1178493.36
?arko,Cabarkapa,"united states",3530737.00,3107048.56
Jos�,Calder�n,"united states",3584555.00,3154408.40
Marcus,Camby,"united states",1429192.00,1257688.96
Brian,Cardinal,"united states",76266.00,67114.08
Matt,Carroll,"united states",223198.00,196414.24
Vince,Carter,"united states",3856169.00,3393428.72
Kelvin,Cato,"united states",1795838.00,1580337.44
Tyson,Chandler,"united states",191481.00,168503.28
Josh,Childress,"united states",3433689.00,3021646.32
Speedy,Claxton,"united states",1238649.00,1090011.12
Jason,Collins,"united states",3183661.00,2801621.68
Nick,Collison,"united states",1011400.00,890032.00
Brian,Cook,"united states",1229275.00,1081762.00
Jamal,Crawford,"united states",1307698.00,1150774.24
Austin,Croshere,"united states",1014012.00,892330.56
Eddy,Curry,"united states",941874.00,828849.12
Samuel,Dalembert,"united states",3790662.00,3335782.56
Erick,Dampier,"united states",1550996.00,1364876.48
Antonio,Daniels,"united states",1411750.00,1242340.00
Marquis,Daniels,"united states",1311598.00,1154206.24
Antonio,Davis,"united states",3074749.00,2705779.12
Baron,Davis,"united states",1131493.00,995713.84
Dale,Davis,"united states",3422250.00,3011580.00
Josh,Davis,"united states",3100410.00,2728360.80
Ricky,Davis,"united states",112743.00,99213.84
Carlos,Delfino,"united states",1515452.00,1333597.76
Tony,Delk,"united states",647737.00,570008.56
Luol,Deng,"united states",861430.00,758058.40
Boris,Diaw,"united states",673969.00,593092.72
Dan,Dickau,"united states",355619.00,312944.72
Travis,Diener,"united states",1496955.00,1317320.40
Ike,Diogu,"united states",1873500.00,1648680.00
Juan,Dixon,"united states",3012942.00,2651388.96
Michael,Doleac,"united states",1254693.00,1104129.84
Chris,Duhon,"united states",884113.00,778019.44
Ronald,Dupree,"united states",3358993.00,2955913.84
John,Edwards,"united states",369802.00,325425.76
Monta,Ellis,"united states",672907.00,592158.16
Francisco,Elson,"united states",2328372.00,2048967.36
Melvin,Ely,"united states",2755796.00,2425100.48
Maurice,Evans,"united states",2144567.00,1887218.96
Reggie,Evans,"united states",3888631.00,3421995.28
Daniel,Ewing,"united states",3240998.00,2852078.24
Raymond,Felton,"united states",2581284.00,2271529.92
Michael,Finley,"united states",450116.00,396102.08
Gerald,Fitch,"united states",2747336.00,2417655.68
T.J.,Ford,"united states",2349870.00,2067885.60
Jeff,Foster,"united states",1890290.00,1663455.20
Adonal,Foyle,"united states",2319418.00,2041087.84
Richie,Frahm,"united states",1195778.00,1052284.64
Steve,Francis,"united states",3905505.00,3436844.40
Channing,Frye,"united states",3537241.00,3112772.08
Dan,Gadzuric,"united states",2584481.00,2274343.28
Deng,Gai,"united states",78406.00,68997.28
Reece,Gaines,"united states",1151703.00,1013498.64
Francisco,Garc�a,"united states",467648.00,411530.24
Kevin,Garnett,"united states",1052607.00,926294.16
Pat,Garrity,"united states",1258964.00,1107888.32
Pau,Gasol,"united states",880267.00,774634.96
Devean,George,"united states",3970638.00,3494161.44
Eddie,Gill,"united states",1795416.00,1579966.08
Manu,Gin�bili,"united states",1508358.00,1327355.04
Gordan,Giricek,"united states",2751459.00,2421283.92
Ryan,Gomes,"united states",3926019.00,3454896.72
Drew,Gooden,"united states",1353469.00,1191052.72
Ben,Gordon,"united states",1779325.00,1565806.00
Joey,Graham,"united states",3775957.00,3322842.16
Stephen,Graham,"united states",3800095.00,3344083.60
Danny,Granger,"united states",940658.00,827779.04
Devin,Green,"united states",1258370.00,1107365.60
Gerald,Green,"united states",3443125.00,3029950.00
Orien,Greene,"united states",2094037.00,1842752.56
Eddie,Griffin,"united states",798591.00,702760.08
Anthony,Grundy,"united states",326906.00,287677.28
Richard,Hamilton,"united states",339029.00,298345.52
Zendon,Hamilton,"united states",2511842.00,2210420.96
Anfernee,Hardaway,"united states",2482057.00,2184210.16
Matt,Harpring,"united states",1978395.00,1740987.60
Al,Harrington,"united states",1846789.00,1625174.32
Othella,Harrington,"united states",3855233.00,3392605.04
Devin,Harris,"united states",2182622.00,1920707.36
David,Harrison,"united states",3973543.00,3496717.84
Jason,Hart,"united states",134900.00,118712.00
Udonis,Haslem,"united states",2965856.00,2609953.28
Trenton,Hassell,"united states",2415376.00,2125530.88
Chuck,Hayes,"united states",3431864.00,3020040.32
Jarvis,Hayes,"united states",2835620.00,2495345.60
Brendan,Haywood,"united states",91698.00,80694.24
Luther,Head,"united states",3637038.00,3200593.44
Alan,Henderson,"united states",1047584.00,921873.92
Nen�,Nen�,"united states",3170755.00,2790264.40
Grant,Hill,"united states",1035071.00,910862.48
Kirk,Hinrich,"united states",3337091.00,2936640.08
Julius,Hodge,"united states",1066180.00,938238.40
Randy,Holcomb,"united states",3536410.00,3112040.80
Robert,Horry,"united states",1596187.00,1404644.56
Eddie,House,"united states",3429352.00,3017829.76
Dwight,Howard,"united states",1231333.00,1083573.04
Josh,Howard,"united states",1131844.00,996022.72
Troy,Hudson,"united states",3951041.00,3476916.08
Larry,Hughes,"united states",1486243.00,1307893.84
Kris,Humphries,"united states",1203671.00,1059230.48
Steven,Hunter,"united states",3564173.00,3136472.24
Andre,Iguodala,"united states",3683528.00,3241504.64
Zydrunas,Ilgauskas,"united states",1787812.00,1573274.56
D.J.,Mbenga,"united states",1547648.00,1361930.24
Allen,Iverson,"united states",675702.00,594617.76
Jermaine,Jackson,"united states",3056417.00,2689646.96
Jim,Jackson,"united states",2236805.00,1968388.40
Luke,Jackson,"united states",2991550.00,2632564.00
Stephen,Jackson,"united states",3167549.00,2787443.12
Jerome,James,"united states",2531907.00,2228078.16
LeBron,James,"united states",1732422.00,1524531.36
Mike,James,"united states",1183780.00,1041726.40
Antawn,Jamison,"united states",3083413.00,2713403.44
Marko,Jaric,"united states",1493870.00,1314605.60
?arunas,Jasikevicius,"united states",1622811.00,1428073.68
Al,Jefferson,"united states",719908.00,633519.04
Richard,Jefferson,"united states",1478289.00,1300894.32
Jared,Jeffries,"united states",2729843.00,2402261.84
Amir,Johnson,"united states",2262889.00,1991342.32
Anthony,Johnson,"united states",899450.00,791516.00
DerMarr,Johnson,"united states",486894.00,428466.72
Ervin,Johnson,"united states",3002440.00,2642147.20
Joe,Johnson,"united states",664329.00,584609.52
Linton,Johnson,"united states",2422885.00,2132138.80
Dahntay,Jones,"united states",534578.00,470428.64
Eddie,Jones,"united states",488770.00,430117.60
Fred,Jones,"united states",1705816.00,1501118.08
James,Jones,"united states",385654.00,339375.52
Jumaine,Jones,"united states",569639.00,501282.32
Chris,Kaman,"united states",749733.00,659765.04
Jason,Kapono,"united states",2950208.00,2596183.04
Mario,Kasun,"united states",311157.00,273818.16
Viktor,Khryapa,"united states",1573248.00,1384458.24
Andrei,Kirilenko,"united states",3189747.00,2806977.36
Linas,Kleiza,"united states",3340541.00,2939676.08
Brevin,Knight,"united states",1134866.00,998682.08
Yaroslav,Korolev,"united states",3497585.00,3077874.80
Kyle,Korver,"united states",2586759.00,2276347.92
Nenad,Krstic,"united states",2726424.00,2399253.12
Toni,Kukoc,"united states",1088105.00,957532.40
Raef,LaFrentz,"united states",2510981.00,2209663.28
Maciej,Lampe,"united states",1915701.00,1685816.88
David,Lee,"united states",2567196.00,2259132.48
Voshon,Lenard,"united states",949272.00,835359.36
Rashard,Lewis,"united states",889020.00,782337.60
Randy,Livingston,"united states",2428757.00,2137306.16
Shaun,Livingston,"united states",2055100.00,1808488.00
John,III,"united states",2918236.00,2568047.68
Corey,Maggette,"united states",2556461.00,2249685.68
Stephon,Marbury,"united states",806709.00,709903.92
Shawn,Marion,"united states",410801.00,361504.88
Donyell,Marshall,"united states",2924008.00,2573127.04
Rawle,Marshall,"united states",607321.00,534442.48
Darrick,Martin,"united states",1223027.00,1076263.76
Kenyon,Martin,"united states",1771621.00,1559026.48
Kevin,Martin,"united states",3862588.00,3399077.44
Desmond,Mason,"united states",3782923.00,3328972.24
Jason,Maxiell,"united states",2473205.00,2176420.40
Sean,May,"united states",3108793.00,2735737.84
Rashad,McCants,"united states",808226.00,711238.88
Antonio,McDyess,"united states",3377158.00,2971899.04
Tracy,McGrady,"united states",2292960.00,2017804.80
Jeff,McInnis,"united states",898606.00,790773.28
Keith,McLeod,"united states",93825.00,82566.00
Stanislav,Medvedenko,"united states",3364843.00,2961061.84
Chris,Mihm,"united states",2202017.00,1937774.96
C.J.,Miles,"united states",59330.00,52210.40
Darius,Miles,"united states",3608038.00,3175073.44
Darko,Milicic,"united states",1582985.00,1393026.80
Andre,Miller,"united states",509100.00,448008.00
Brad,Miller,"united states",103280.00,90886.40
Yao,Ming,"united states",3129884.00,2754297.92
Cuttino,Mobley,"united states",3604331.00,3171811.28
Nazr,Mohammed,"united states",3149738.00,2771769.44
Sergei,Monia,"united states",1514443.00,1332709.84
Mikki,Moore,"united states",103412.00,91002.56
Terence,Morris,"united states",3503257.00,3082866.16
Alonzo,Mourning,"united states",972462.00,855766.56
Troy,Murphy,"united states",1917130.00,1687074.40
Ronald,Murray,"united states",566488.00,498509.44
Dikembe,Mutombo,"united states",3217725.00,2831598.00
Boniface,N'Dong,"united states",3889183.00,3422481.04
Lee,Nailon,"united states",934962.00,822766.56
Eduardo,N�jera,"united states",1504536.00,1323991.68
Jameer,Nelson,"united states",1069664.00,941304.32
Rasho,Nesterovic,"united states",2591478.00,2280500.64
Ira,Newble,"united states",3628344.00,3192942.72
Andr�s,Nocioni,"united states",2979231.00,2621723.28
Moochie,Norris,"united states",3950294.00,3476258.72
Dirk,Nowitzki,"united states",242506.00,213405.28
Jermaine,O'Neal,"united states",431134.00,379397.92
Shaquille,O'Neal,"united states",3820044.00,3361638.72
Fabricio,Oberto,"united states",700646.00,616568.48
Lamar,Odom,"united states",358798.00,315742.24
Emeka,Okafor,"united states",1238315.00,1089717.20
Mehmet,Okur,"united states",3956304.00,3481547.52
Kevin,Ollie,"united states",2555925.00,2249214.00
Michael,Olowokandi,"united states",250141.00,220124.08
Greg,Ostertag,"united states",948936.00,835063.68
Bo,Outlaw,"united states",3778516.00,3325094.08
Travis,Outlaw,"united states",413727.00,364079.76
Andre,Owens,"united states",2511332.00,2209972.16
Zaza,Pachulia,"united states",2360827.00,2077527.76
Scott,Padgett,"united states",1530191.00,1346568.08
Smush,Parker,"united states",3131233.00,2755485.04
Tony,Parker,"united states",2401877.00,2113651.76
Ruben,Patterson,"united states",617107.00,543054.16
Chris,Paul,"united states",983585.00,865554.80
Sasha,Pavlovic,"united states",2748400.00,2418592.00
Gary,Payton,"united states",1115645.00,981767.60
Kendrick,Perkins,"united states",204976.00,180378.88
Morris,Peterson,"united states",3646413.00,3208843.44
Johan,Petro,"united states",3786737.00,3332328.56
Eric,Piatkowski,"united states",2006228.00,1765480.64
Paul,Pierce,"united states",3873119.00,3408344.72
Micka�l,Pi�trus,"united states",2551145.00,2245007.60
Pavel,Podkolzin,"united states",272926.00,240174.88
Scot,Pollard,"united states",3415612.00,3005738.56
Josh,Powell,"united states",3672395.00,3231707.60
Ronnie,Price,"united states",443777.00,390523.76
Tayshaun,Prince,"united states",965495.00,849635.60
Joel,Przybilla,"united states",2012101.00,1770648.88
Vladimir,Radmanovic,"united states",1843921.00,1622650.48
Shavlik,Randolph,"united states",580777.00,511083.76
Zach,Randolph,"united states",2554970.00,2248373.60
Theo,Ratliff,"united states",1172301.00,1031624.88
?eljko,Rebraca,"united states",326929.00,287697.52
Michael,Redd,"united states",3502131.00,3081875.28
Justin,Reed,"united states",3598135.00,3166358.80
Jason,Richardson,"united states",1552801.00,1366464.88
Quentin,Richardson,"united states",3376264.00,2971112.32
Luke,Ridnour,"united states",2623310.00,2308512.80
Anthony,Roberson,"united states",3202430.00,2818138.40
Lawrence,Roberts,"united states",3685148.00,3242930.24
Bernard,Robinson,"united states",3107714.00,2734788.32
Nate,Robinson,"united states",1082078.00,952228.64
Jalen,Rose,"united states",2427087.00,2135836.56
Malik,Rose,"united states",317630.00,279514.40
Quinton,Ross,"united states",3871041.00,3406516.08
Kareem,Rush,"united states",773849.00,680987.12
Bryon,Russell,"united states",982474.00,864577.12
John,Salmons,"united states",3234383.00,2846257.04
Jamal,Sampson,"united states",516156.00,454217.28
Melvin,Sanders,"united states",3231935.00,2844102.80
Alex,Scales,"united states",3881525.00,3415742.00
Luke,Schenscher,"united states",661579.00,582189.52
Ha,Seung-Jin,"united states",1636275.00,1439922.00
Wayne,Simien,"united states",1135019.00,998816.72
Bobby,Simmons,"united states",520364.00,457920.32
James,Singleton,"united states",3118089.00,2743918.32
Brian,Skinner,"united states",2134244.00,1878134.72
Charles,Smith,"united states",663295.00,583699.60
Donta,Smith,"united states",3595159.00,3163739.92
J.R.,Smith,"united states",3198073.00,2814304.24
Joe,Smith,"united states",1724338.00,1517417.44
Josh,Smith,"united states",72756.00,64025.28
Eric,Snow,"united states",336958.00,296523.04
Kirk,Snyder,"united states",3832668.00,3372747.84
Pape,Sow,"united states",1747411.00,1537721.68
DeShawn,Stevenson,"united states",2393532.00,2106308.16
Peja,Stojakovic,"united states",2952570.00,2598261.60
Awvee,Storey,"united states",3909137.00,3440040.56
Salim,Stoudamire,"united states",907471.00,798574.48
Amar'e,Stoudemire,"united states",122669.00,107948.72
Mike,Sweetney,"united states",167790.00,147655.20
Robert,Swift,"united states",3971311.00,3494753.68
Stromile,Swift,"united states",3020774.00,2658281.12
Wally,Szczerbiak,"united states",2620524.00,2306061.12
Chris,Taft,"united states",2828525.00,2489102.00
Donell,Taylor,"united states",2157262.00,1898390.56
Maurice,Taylor,"united states",3531260.00,3107508.80
Sebastian,Telfair,"united states",3109471.00,2736334.48
Billy,Thomas,"united states",947889.00,834142.32
Etan,Thomas,"united states",2036385.00,1792018.80
James,Thomas,"united states",1214365.00,1068641.20
John,Thomas,"united states",67883.00,59737.04
Kenny,Thomas,"united states",2817437.00,2479344.56
Kurt,Thomas,"united states",1746316.00,1536758.08
Tim,Thomas,"united states",920358.00,809915.04
Dijon,Thompson,"united states",611206.00,537861.28
Jamaal,Tinsley,"united states",129872.00,114287.36
Jake,Tsakalidis,"united states",1173444.00,1032630.72
Nikoloz,Tskitishvili,"united states",333939.00,293866.32
Ronny,Turiaf,"united states",2874727.00,2529759.76
Hedo,T�rkoglu,"united states",350300.00,308264.00
Beno,Udrih,"united states",2858219.00,2515232.72
Keith,Horn,"united states",337783.00,297249.04
Anderson,Varej�o,"united states",271338.00,238777.44
Charlie,Villanueva,"united states",314416.00,276686.08
Jake,Voskuhl,"united states",1750199.00,1540175.12
Sasha,Vujacic,"united states",2743443.00,2414229.84
Dwyane,Wade,"united states",2563029.00,2255465.52
Von,Wafer,"united states",1432484.00,1260585.92
Antoine,Walker,"united states",831055.00,731328.40
Samaki,Walker,"united states",3105101.00,2732488.88
Ben,Wallace,"united states",66284.00,58329.92
Gerald,Wallace,"united states",2095762.00,1844270.56
Rasheed,Wallace,"united states",228637.00,201200.56
Matt,Walsh,"united states",2079714.00,1830148.32
Hakim,Warrick,"united states",3191010.00,2808088.80
Chris,Webber,"united states",1869118.00,1644823.84
Martell,Webster,"united states",3610873.00,3177568.24
Bonzi,Wells,"united states",1693061.00,1489893.68
Jir�,Welsch,"united states",2524667.00,2221706.96
David,Wesley,"united states",3818907.00,3360638.16
David,West,"united states",2885291.00,2539056.08
Delonte,West,"united states",3036774.00,2672361.12
Robert,Whaley,"united states",2128763.00,1873311.44
Chris,Wilcox,"united states",1349442.00,1187508.96
Damien,Wilkins,"united states",1101776.00,969562.88
Mike,Wilks,"united states",2036461.00,1792085.68
Aaron,Williams,"united states",2741964.00,2412928.32
Deron,Williams,"united states",1344684.00,1183321.92
Eric,Williams,"united states",2264066.00,1992378.08
Jason,Williams,"united states",3545088.00,3119677.44
Lou,Williams,"united states",1408349.00,1239347.12
Marvin,Williams,"united states",66235.00,58286.80
Mo,Williams,"united states",386065.00,339737.20
Loren,Woods,"united states",2405751.00,2117060.88
Qyntel,Woods,"united states",2122366.00,1867682.08
Metta,Peace,"united states",862203.00,758738.64
Antoine,Wright,"united states",3617391.00,3183304.08
Bracey,Wright,"united states",254355.00,223832.40
Dorell,Wright,"united states",3677159.00,3235899.92
Lorenzen,Wright,"united states",2301642.00,2025444.96
Hassan,Adams,"united states",2464474.00,2168737.12
Maurice,Ager,"united states",2937678.00,2585156.64
LaMarcus,Aldridge,"united states",2657454.00,2338559.52
Lou,Amundson,"united states",2145318.00,1887879.84
Hilton,Armstrong,"united states",3456132.00,3041396.16
James,Augustine,"united states",68693.00,60449.84
Kelenna,Azubuike,"united states",111151.00,97812.88
Renaldo,Balkman,"united states",696927.00,613295.76
J.J.,Barea,"united states",2642504.00,2325403.52
Andrea,Bargnani,"united states",3550928.00,3124816.64
Maceo,Baston,"united states",806463.00,709687.44
Will,Blalock,"united states",3254342.00,2863820.96
Cedric,Bozeman,"united states",2574324.00,2265405.12
Ronnie,Brewer,"united states",597390.00,525703.20
Andre,Brown,"united states",612680.00,539158.40
Shannon,Brown,"united states",2813578.00,2475948.64
Rodney,Carney,"united states",282428.00,248536.64
Mardy,Collins,"united states",744026.00,654742.88
Will,Conroy,"united states",1215508.00,1069647.04
Paul,Davis,"united states",787552.00,693045.76
Yakhouba,Diawara,"united states",1180710.00,1039024.80
Quincy,Douby,"united states",3345535.00,2944070.80
Jordan,Farmar,"united states",127396.00,112108.48
Desmon,Farmer,"united states",770581.00,678111.28
Randy,Foye,"united states",2299130.00,2023234.40
Matt,Freije,"united states",2366143.00,2082205.84
Jorge,Garbajosa,"united states",3412679.00,3003157.52
Rudy,Gay,"united states",3545615.00,3120141.20
Micka�l,Gelabale,"united states",3118164.00,2743984.32
Daniel,Gibson,"united states",652588.00,574277.44
Lynn,Greer,"united states",488637.00,430000.56
Mike,Hall,"united states",3410815.00,3001517.20
Junior,Harrington,"united states",407753.00,358822.64
Walter,Herrmann,"united states",1049980.00,923982.40
Robert,Hite,"united states",279851.00,246268.88
Ryan,Hollins,"united states",3193396.00,2810188.48
Ersan,Ilyasova,"united states",3921625.00,3451030.00
Alexander,Johnson,"united states",1452154.00,1277895.52
Bobby,Jones,"united states",3095725.00,2724238.00
Solomon,Jones,"united states",833658.00,733619.04
Tarence,Kinsey,"united states",2511597.00,2210205.36
James,Lang,"united states",320253.00,281822.64
Kyle,Lowry,"united states",3885109.00,3418895.92
Renaldo,Major,"united states",2320711.00,2042225.68
Damir,Markota,"united states",1418414.00,1248204.32
Roger,Mason,"united states",2271924.00,1999293.12
Chris,McCray,"united states",2440289.00,2147454.32
Ivan,McFarlin,"united states",3794226.00,3338918.88
Pops,Mensah-Bonsu,"united states",2127697.00,1872373.36
Paul,Millsap,"united states",3288823.00,2894164.24
Randolph,Morris,"united states",1520375.00,1337930.00
Adam,Morrison,"united states",2095445.00,1843991.60
David,Noel,"united states",875035.00,770030.80
Steve,Novak,"united states",3468080.00,3051910.40
Patrick,O'Bryant,"united states",2321704.00,2043099.52
Anthony,Parker,"united states",3684617.00,3242462.96
Kevinn,Pinkney,"united states",2708014.00,2383052.32
Leon,Powe,"united states",3067431.00,2699339.28
Roger,Powell,"united states",1909072.00,1679983.36
Allan,Ray,"united states",665489.00,585630.32
J.J.,Redick,"united states",799928.00,703936.64
Jared,Reiner,"united states",3800966.00,3344850.08
Jeremy,Richardson,"united states",1054499.00,927959.12
Sergio,Rodr�guez,"united states",3292615.00,2897501.20
Rajon,Rondo,"united states",1608960.00,1415884.80
Brandon,Roy,"united states",1469467.00,1293130.96
Thabo,Sefolosha,"united states",1993084.00,1753913.92
Mouhamed,Sene,"united states",3791862.00,3336838.56
Cedric,Simmons,"united states",1971744.00,1735134.72
Uro?,Slokar,"united states",3886055.00,3419728.40
Craig,Smith,"united states",1404121.00,1235626.48
Steven,Smith,"united states",3182515.00,2800613.20
Vassilis,Spanoulis,"united states",1761836.00,1550415.68
Tyrus,Thomas,"united states",2515212.00,2213386.56
P.J.,Tucker,"united states",1827773.00,1608440.24
Dajuan,Wagner,"united states",3682858.00,3240915.04
James,White,"united states",667716.00,587590.08
Justin,Williams,"united states",293610.00,258376.80
Marcus,Williams,"united states",2756776.00,2425962.88
Shammond,Williams,"united states",3043789.00,2678534.32
Shawne,Williams,"united states",3489363.00,3070639.44
Shelden,Williams,"united states",378325.00,332926.00
Kevin,Willis,"united states",3085463.00,2715207.44
Arron,Afflalo,"united states",1704029.00,1499545.52
Lance,Allred,"united states",1389285.00,1222570.80
Morris,Almond,"united states",1426627.00,1255431.76
Joel,Anthony,"united states",3715607.00,3269734.16
Marco,Belinelli,"united states",3484363.00,3066239.44
Corey,Brewer,"united states",886544.00,780158.72
Aaron,Brooks,"united states",1979117.00,1741622.96
Wilson,Chandler,"united states",68482.00,60264.16
Mike,Conley,"united states",462296.00,406820.48
Daequan,Cook,"united states",853552.00,751125.76
Javaris,Crittenton,"united states",1999533.00,1759589.04
Jermareo,Davidson,"united states",394108.00,346815.04
Glen,Davis,"united states",250740.00,220651.20
Guillermo,D�az,"united states",1217091.00,1071040.08
Kaniel,Dickens,"united states",868082.00,763912.16
Kevin,Durant,"united states",72441.00,63748.08
Nick,Fazekas,"united states",1539740.00,1354971.20
Kyrylo,Fesenko,"united states",2119971.00,1865574.48
Thomas,Gardner,"united states",2223573.00,1956744.24
Marcin,Gortat,"united states",1772318.00,1559639.84
Jeff,Green,"united states",1946514.00,1712932.32
Taurean,Green,"united states",3262327.00,2870847.76
Mike,Harris,"united states",1346165.00,1184625.20
Spencer,Hawes,"united states",2466427.00,2170455.76
Al,Horford,"united states",3992134.00,3513077.92
Casey,Jacobsen,"united states",1904849.00,1676267.12
